id,path,label,builder_id,materials_count,command_sample,startedOn,finishedOn,time_delta_sec,entropy_b64,subject_digest
provenance.intoto-18515842420#0,tampered_provenance_sample/provenance.intoto-18515842420.jsonl,tampered,,0,[],,,,5.7227,
provenance.intoto-18515843011#0,tampered_provenance_sample/provenance.intoto-18515843011.jsonl,tampered,,0,[],,,,5.7158,
provenance.intoto-18515844148#0,tampered_provenance_sample/provenance.intoto-18515844148.jsonl,tampered,,0,[],,,,5.7239,
provenance.intoto-18515845274#0,tampered_provenance_sample/provenance.intoto-18515845274.jsonl,tampered,,0,[],,,,5.7142,
provenance.intoto-18515846424#0,tampered_provenance_sample/provenance.intoto-18515846424.jsonl,tampered,,0,[],,,,5.7234,
provenance.intoto-18515847591#0,tampered_provenance_sample/provenance.intoto-18515847591.jsonl,tampered,,0,[],,,,5.718,
provenance.intoto-18515848156#0,tampered_provenance_sample/provenance.intoto-18515848156.jsonl,tampered,,0,[],,,,5.7176,
provenance.intoto-18515848642#0,tampered_provenance_sample/provenance.intoto-18515848642.jsonl,tampered,,0,[],,,,5.7196,
provenance.intoto-18515849419#0,tampered_provenance_sample/provenance.intoto-18515849419.jsonl,tampered,,0,[],,,,5.7152,
provenance.intoto-18515850672#0,tampered_provenance_sample/provenance.intoto-18515850672.jsonl,tampered,,0,[],,,,5.7192,
provenance.intoto-18515851669#0,tampered_provenance_sample/provenance.intoto-18515851669.jsonl,tampered,,0,[],,,,5.7188,
provenance.intoto-18515853035#0,tampered_provenance_sample/provenance.intoto-18515853035.jsonl,tampered,,0,[],,,,5.7226,
provenance.intoto-18515854362#0,tampered_provenance_sample/provenance.intoto-18515854362.jsonl,tampered,,0,[],,,,5.7168,
provenance.intoto-18515855775#0,tampered_provenance_sample/provenance.intoto-18515855775.jsonl,tampered,,0,[],,,,5.7231,
provenance.intoto-18515857218#0,tampered_provenance_sample/provenance.intoto-18515857218.jsonl,tampered,,0,[],,,,5.7151,
provenance.intoto-18515857997#0,tampered_provenance_sample/provenance.intoto-18515857997.jsonl,tampered,,0,[],,,,5.72,
